FORMACIÓN ETICA Y CIUDADANA III,EDUC. ARTÍSTICA: TEATRO/ DANZA,EDUCACIÓN FÍSICA III,MATEMATICA III,BIOLOGÍA III,FÍSICA III,QUIMICA III,TICS,DIBUJO III,TALLER III - ELECT- MECANICA - HERRERIA
LENGUA Y LITERATURA IV,LENGUA EXTRANJERA IV,EDUCACIÓN FÍSICA,GEOGRAFÍA DE CATAMARCA Y EL NOA,HISTORIA DE CATAMARCA Y EL NOA,ANALISIS MATEMATICO I,FÍSICA IV,QUÍMICA APLICADA,TRANSF. Y SINTESIS DE LOS MATERIALES,MAQUINAS ELÉCTRICAS Y AUTOMATISMOS I,DISEÑO Y PROCESAM MECÁNICO I,INST. Y APLIC DE LA ENERGÍA I,ELECTRICIDAD,MECÁNICA,METALURGIA,LENGUA Y LITERATURA,INGLES TECNICO I,EDUCACION FÍSICA
CONSTRUCCION CIUDADANA - ESI,ANÁLISIS MATEMATICO II,MECÁNICA Y MECANISMOS,RESIST. Y ENSAYO DE LOS MATERIALES,LAB. DE MEDICIONES ELÉCTRICAS,MÁQUINAS ELÉCTRICAS Y AUTOMATISMOS II,DISEÑO Y PROCESAM MECÁNICO II,ELECTROTECNIA I,INST. Y APLIC DE LA ENERGÍA II,REDES ELÉCTRICAS,MECÁNICA,SOLDADURA,LENGUA Y LITERATURA,INGLÉS TECNICO II,EDUCACIÓN FÍSICA
MATEMATICA APLICADA,TERMOD. Y MÁQ. TÉRMICAS,GESTIÓN Y ADMIN. INDUSTRIAL,MÁQUINAS ELÉCTRICAS Y AUTOMATISMOS III,DISEÑO Y PROCESAM. MECÁNICO III,INST. Y APLICAC. DE LA ENERGÍA III,SISTEMAS MECÁNICOS I,CONTROL Y AUTOMATISMOS INDUSTRIALES,ELECTROTECNIA II,SOLDADURA II,INST. DE CONTROL AUTOMATIZADO,SISTEMAS DE MECANIZADO,COMUNICACIÓN,EDUCACIÓN FÍSICA
GESTION DE PYMES INDUSTRIALES,DERECHO DEL TRABAJO,LAB. DE METROLOGÍA Y CONTROL DE CALIDAD,MONTAJE ELECTROMECÁNICO,MANTENIMIENTO INDUSTRIAL,SEGURIDAD, HIGIENE Y PROT. AMBIENTAL,SISTEMAS MECÁNICOS II,ELECTRÓNICA INDUSTRIAL,TALLER DE ELECTRÓNICA,PROY. Y DISEÑO ELECTROMECÁNICO,PROY. Y DISEÑO DE INST. ELÉCTRICAS,SISTEMAS DE MECANIZADO CNC,PASANTÍA
